generation,coverage,archive_size,moqd_score,global_hypervolume,max_hv_contrib,mean_hv_contrib,decode_success_rate,total_evaluations,int_div,scaffold_count,n_unique
1,0.04,4,2.3433181673667116,0.7608479139130224,0.4095129098841338,0.1889886905788722,1.0,349,0.8793773382824988,21,40
2,0.04,4,2.4629520503107774,0.7678548999562693,0.4266293901348485,0.1430077425498316,1.0,477,0.8606673102324411,17,41
3,0.04,4,2.7699084887806835,0.8048107327326008,0.6089108234505207,0.1431783565799322,1.0,619,0.8509067270065748,12,51
4,0.05,5,3.24311515749546,0.8048107327326008,0.5062020345922223,0.16961832147926653,1.0,768,0.8472893900117634,12,57
5,0.06,6,3.6979112642243592,0.8121630741564484,0.5242042774062284,0.1398731140637953,1.0,906,0.8558380177702679,20,65
6,0.06,6,3.881841417198835,0.8238102128511577,0.42488544642175385,0.12715382103845813,1.0,1074,0.8692537757571858,42,94
7,0.07,7,4.085891540490777,0.8238102128511577,0.39929743612414337,0.07126988758034529,1.0,1238,0.8677640960528714,49,104
8,0.07,7,4.230604881901922,0.8626810054210337,0.2896386349026167,0.09473637107469587,1.0,1374,0.8700774618982461,45,99
9,0.07,7,4.283730143833143,0.868993154251649,0.3260343149158928,0.09070136324930037,1.0,1517,0.8668971852452444,37,92
10,0.08,8,4.832771833677428,0.870684339959295,0.42274604103656144,0.080139030505253,1.0,1676,0.8738610384866455,45,120
11,0.08,8,4.877177782958568,0.870684339959295,0.35337449009038574,0.09205052101060208,1.0,1827,0.878357603387655,58,131
12,0.08,8,4.974431736482856,0.870684339959295,0.31282217035258897,0.08462367173981138,1.0,1953,0.88127043086758,81,161
13,0.08,8,5.0719284983005215,0.8717116878820971,0.3340663427488574,0.07472362827346184,1.0,2074,0.8696566873651035,59,130
14,0.08,8,5.137770292649872,0.871752271731592,0.25907049202397436,0.07331947147906102,1.0,2215,0.8762175353955126,74,142
15,0.08,8,5.140712683288363,0.871752271731592,0.2576612857658971,0.06174889369351306,1.0,2363,0.8746964076901156,76,154
16,0.08,8,5.159521792451726,0.871752271731592,0.23302067092283715,0.048642080292955296,1.0,2484,0.8738917325918264,79,156
17,0.08,8,5.174590284953982,0.871800132212918,0.21343462325801923,0.051085995825781015,1.0,2623,0.8703943397125837,81,155
18,0.08,8,5.174590284953982,0.871800132212918,0.1958775009019933,0.06064558748815161,1.0,2707,0.872816947405339,83,169
19,0.08,8,5.178621673059405,0.871800132212918,0.2295307962871646,0.04127928125079461,1.0,2861,0.8780261447245393,102,190
20,0.08,8,5.183384563845346,0.871800132212918,0.19507716877125653,0.045493776165432286,1.0,2988,0.87454977342514,85,170
21,0.08,8,5.185011820672904,0.8730060017566297,0.17236039347160081,0.043145963457298465,1.0,3068,0.8723847797294828,80,171
22,0.08,8,5.185742882676763,0.8730060017566297,0.22639821101926225,0.03488844138086909,1.0,3158,0.873220722862419,81,170
23,0.08,8,5.186298899780302,0.8730060017566297,0.1521421296160979,0.03738841460363116,1.0,3277,0.8744307441449579,96,186
24,0.08,8,5.187869511573325,0.8730060017566297,0.16038255066074403,0.038286065861128954,1.0,3400,0.8772942428665601,87,171
25,0.08,8,5.244224123005912,0.8730060017566297,0.28777615187776867,0.0422436384299148,1.0,3524,0.8722185385697557,75,157
26,0.08,8,5.247533895182095,0.8731286330978392,0.16489145017343898,0.038493421663294385,1.0,3626,0.8710909817236251,77,154
27,0.08,8,5.267983103814091,0.8731286330978392,0.16648008834484446,0.03017134153795196,1.0,3731,0.8751425103273217,87,165
28,0.08,8,5.2723315245766,0.8731286330978392,0.1540491355826632,0.037805461294983474,1.0,3852,0.8718791869821988,79,164
29,0.08,8,5.274148181962277,0.8731286330978392,0.12943083336800676,0.033594803212644825,1.0,3971,0.8741286054961249,82,179
30,0.08,8,5.274148181962277,0.8731286330978392,0.12354114775865732,0.03347349361624559,1.0,4056,0.8721613772324415,76,168
31,0.08,8,5.313162111957083,0.8731286330978392,0.10456359790321568,0.028796730241801793,1.0,4144,0.8716438896694239,78,175
32,0.08,8,5.313612431309302,0.8731286330978392,0.19692684152312118,0.034275565084672964,1.0,4245,0.8719676282050158,73,176
33,0.08,8,5.3137934416011605,0.8732190379675759,0.12809111205519874,0.028885767745503187,1.0,4370,0.8728766056200379,76,174
34,0.08,8,5.314286279600792,0.8732190379675759,0.14101187117957953,0.03245393238002463,1.0,4482,0.8717109080850288,84,171
35,0.08,8,5.314286279600792,0.8732190379675759,0.12126770719238189,0.03577589023713166,1.0,4572,0.8737967442762716,90,181
36,0.08,8,5.314286279600792,0.8732190379675759,0.09250878625608722,0.02732006962892632,1.0,4652,0.8761839843928186,99,194
37,0.08,8,5.314536509088321,0.8732909714973859,0.11733954097017618,0.027617219233898847,1.0,4758,0.8727610907833536,97,197
38,0.08,8,5.329103891445788,0.8732909714973859,0.1109384026466948,0.029074738291354745,1.0,4841,0.871788171286686,104,201
39,0.08,8,5.336463660487751,0.8742324503945877,0.19542548418061423,0.032658424767898264,1.0,4960,0.8682323972606826,87,187
40,0.08,8,5.342276693626965,0.8742324503945877,0.09878370346410281,0.030996548421306943,1.0,5036,0.8697481756856342,81,165
41,0.08,8,5.342276693626965,0.8742324503945877,0.09795678798668936,0.025581519521512577,1.0,5100,0.8726829805191083,85,164
42,0.08,8,5.342282949039352,0.8742324503945877,0.1448522429968664,0.025092741827642828,1.0,5197,0.8757261081699127,94,188
43,0.08,8,5.345173074284742,0.8742324503945877,0.11789820596036521,0.02580062206310033,1.0,5301,0.8758887499827365,100,205
44,0.08,8,5.345173074284742,0.8742324503945877,0.08345552281945673,0.025971784489814263,1.0,5372,0.8742359326669529,101,210
45,0.08,8,5.3515822456005795,0.8742324503945877,0.1251033522382256,0.03028703016678013,1.0,5480,0.8759319020386412,96,207
46,0.08,8,5.3515822456005795,0.8742324503945877,0.08046686158190869,0.026904736703267804,1.0,5564,0.8723771276950166,98,205
47,0.08,8,5.354048264679438,0.8742324503945877,0.11401278948342886,0.02922169653912716,1.0,5672,0.8739946677735653,96,199
48,0.08,8,5.354048264679438,0.8742324503945877,0.12326156212019662,0.023201250425619192,1.0,5762,0.8720400354569914,96,197
49,0.08,8,5.354048264679438,0.8742324503945877,0.10746120797595304,0.031146585007704973,1.0,5879,0.8722120080723478,97,203
50,0.08,8,5.354048264679438,0.8742324503945877,0.06691877154209991,0.01796578340389125,1.0,5945,0.8746376502906863,103,206
51,0.08,8,5.36579999980144,0.8742324503945877,0.12406541118339076,0.02338988317077129,1.0,6022,0.8753703997608804,92,200
52,0.08,8,5.368806108175307,0.8742324503945877,0.12048168375187007,0.02853753823706826,1.0,6125,0.8759457330219054,99,208
53,0.08,8,5.372374080250229,0.8742324503945877,0.16313912753003557,0.024337744456556985,1.0,6190,0.8711391397814734,87,191
54,0.08,8,5.372374080250229,0.8742324503945877,0.09358083309755116,0.019055492854054893,1.0,6278,0.8734296665725305,97,210
55,0.08,8,5.378377659243462,0.8742324503945877,0.11486879868336519,0.028303792469014984,1.0,6364,0.8732181795293845,95,188
56,0.08,8,5.382014342796136,0.8742324503945877,0.14978450249181569,0.027944326509674912,1.0,6446,0.8699642666768305,85,191
57,0.08,8,5.382014342796136,0.8742324503945877,0.08218771595951313,0.017112111556393365,1.0,6504,0.8695624080741698,89,189
58,0.08,8,5.382258644655238,0.8742324503945877,0.11458550316656818,0.028106783449909946,1.0,6583,0.8684585502977777,97,197
59,0.08,8,5.3828070360320055,0.8742324503945877,0.14137228234528382,0.025182079849498606,1.0,6658,0.8696086560107805,94,189
60,0.08,8,5.3828070360320055,0.8742324503945877,0.0995324377221165,0.030177235413914205,1.0,6760,0.864420643922488,88,187
61,0.08,8,5.3828070360320055,0.8742324503945877,0.09776320932686589,0.021964138497038575,1.0,6844,0.8644903538644243,87,198
62,0.08,8,5.3828070360320055,0.8742324503945877,0.0791148836098639,0.016113240985373034,1.0,6923,0.8660653650048656,94,213
63,0.08,8,5.383147604885766,0.8742324503945877,0.1003486001283655,0.022567029314741287,1.0,6988,0.8674772961952879,100,215
64,0.08,8,5.383147604885766,0.8742324503945877,0.0929138552530896,0.01710953784401737,1.0,7058,0.8698976157893453,105,214
65,0.08,8,5.383147604885766,0.8742324503945877,0.0752612336597317,0.020701843838217965,1.0,7157,0.8675277955315175,107,216
66,0.08,8,5.383147604885766,0.8742324503945877,0.07628509087518698,0.019708329425779422,1.0,7254,0.8683660726527791,95,207
67,0.08,8,5.385201738147791,0.8742324503945877,0.07348530871770081,0.02453899414712801,1.0,7311,0.8681338954413782,99,206
68,0.08,8,5.385201738147791,0.8742324503945877,0.0742126674292134,0.022575270183724298,1.0,7404,0.8687417519168016,95,210
69,0.08,8,5.385201738147791,0.8742324503945877,0.09730291544614267,0.01601339416113304,1.0,7478,0.8675999610144248,92,208
70,0.08,8,5.4086615404922025,0.874366836686586,0.10765712916518289,0.029088780745164862,1.0,7576,0.8654384262352941,83,199
71,0.08,8,5.408692617187849,0.874366836686586,0.059189296958169324,0.014572534351733358,1.0,7671,0.8677569630146783,94,213
72,0.08,8,5.40918986900639,0.874366836686586,0.07883308039020892,0.02061835732615971,1.0,7732,0.8664815219567876,94,215
