generation,coverage,archive_size,moqd_score,global_hypervolume,max_hv_contrib,mean_hv_contrib,decode_success_rate,total_evaluations,int_div,scaffold_count,n_unique
26,0.09,9,5.330145975978611,0.8500092432367325,0.15097133354926262,0.043420581303083114,1.0,3800,0.8798533482347389,108,182
27,0.09,9,5.330534944024835,0.8500745311611655,0.16407313795172418,0.03518976817103586,1.0,3931,0.8810866605595229,102,176
28,0.09,9,5.3337224263011525,0.8500745311611655,0.14989101725322895,0.0389159109379377,1.0,4059,0.8743553912929242,104,188
29,0.09,9,5.3353860212321775,0.8500745311611655,0.18677415093541677,0.03406335120501058,1.0,4174,0.8756360065304672,110,195
30,0.09,9,5.3375212398752,0.8500745311611655,0.13166089096426647,0.03283589996308387,1.0,4275,0.8711911034175646,112,205
31,0.09,9,5.342538136286283,0.8500745311611655,0.18176186416660162,0.02757107418860235,1.0,4381,0.8742887357291677,108,199
32,0.09,9,5.344612143633216,0.8518144113708184,0.11599352815857078,0.026636060284981312,1.0,4479,0.870179684072907,105,188
33,0.09,9,5.346100171109177,0.8518144113708184,0.10526760628103038,0.029499471496312886,1.0,4571,0.8732030041168547,111,187
34,0.09,9,5.346100171109177,0.8518144113708184,0.09228343263853228,0.025592188682363747,1.0,4694,0.8730480275515717,127,213
35,0.09,9,5.371454856969388,0.8579610504722182,0.15964728685244928,0.02949222405730015,1.0,4814,0.8697640242737591,111,200
36,0.09,9,5.393887869919548,0.8604133569610484,0.1947597230192309,0.030411075356208447,1.0,4916,0.8682681511638658,100,168
37,0.09,9,5.4505079388219935,0.8604133569610484,0.11032291002571284,0.025761401039992186,1.0,5026,0.8736354317303628,115,194
38,0.09,9,5.450838212711755,0.86055096084914,0.08412975435635178,0.02632425998105882,1.0,5087,0.8744991943130933,109,183
39,0.09,9,5.450838212711755,0.86055096084914,0.11078777590114847,0.03260061834319377,1.0,5235,0.8711178796365849,115,188
40,0.09,9,5.458801405615322,0.8618495478024786,0.118811553843716,0.019927392534329715,1.0,5357,0.8714624636057537,117,196
41,0.09,9,5.458801405615322,0.8618495478024786,0.12274206319751868,0.023718893052379612,1.0,5482,0.8731132760760535,134,220
42,0.09,9,5.462018232996205,0.8618495478024786,0.11469957875042425,0.029771164452134697,1.0,5617,0.875226539614233,124,213
43,0.09,9,5.470572044041268,0.8704033588475424,0.1073140822162284,0.019139591984829753,1.0,5685,0.8786796774775262,123,206
44,0.09,9,5.470572044041268,0.8704033588475424,0.05034831257665626,0.01628270373384065,1.0,5757,0.8777530357047121,127,208
45,0.09,9,5.4707738913877835,0.8704033588475424,0.08165597139027597,0.02417146931313004,1.0,5889,0.8733815095150823,121,205
46,0.09,9,5.482938583980743,0.8704033588475424,0.14532733746581417,0.02395054630376217,1.0,6042,0.874459713933243,119,207
47,0.09,9,5.484837821988258,0.8704033588475424,0.08490094886031074,0.021879496448660524,1.0,6152,0.8722836047439827,122,214
48,0.09,9,5.484837821988258,0.8704033588475424,0.07696563673987478,0.01857495713445881,1.0,6294,0.8738898637087107,126,222
49,0.09,9,5.5037683674878775,0.8704033588475424,0.1658486870676512,0.031923982493655585,1.0,6445,0.8772511580652511,120,219
50,0.09,9,5.5359362124586555,0.8704033588475424,0.1631233011152728,0.027219778325943623,1.0,6578,0.8775534127376364,119,213
51,0.09,9,5.540282081580538,0.8704033588475424,0.07835624557981236,0.020542182656840158,1.0,6694,0.8758437393824504,113,210
52,0.09,9,5.551103068405889,0.8704033588475424,0.10025200264425826,0.022602355721420046,1.0,6793,0.8736324972173843,113,213
53,0.09,9,5.551103068405889,0.8704033588475424,0.09951235717518025,0.019756058749917895,1.0,6880,0.872524080292789,122,228
54,0.09,9,5.553088988137813,0.8704033588475424,0.12094370023114803,0.030017929488567387,1.0,7004,0.8759561760644184,129,229
55,0.09,9,5.553088988137813,0.8704033588475424,0.09373139341143166,0.02327473793691897,1.0,7112,0.8757859476562307,136,243
56,0.09,9,5.553088988137813,0.8704033588475424,0.09279387879705259,0.02420209166421751,1.0,7241,0.8803540490667052,139,244
57,0.09,9,5.553204392419681,0.8704033588475424,0.10140533830882659,0.01592477512413928,1.0,7319,0.8743828993206223,134,245
58,0.09,9,5.553589040825961,0.8704033588475424,0.09613927460971028,0.020158793507051073,1.0,7422,0.873896581316882,138,256
59,0.09,9,5.554041540414464,0.8704033588475424,0.07400965600130133,0.01335862734176331,1.0,7534,0.8783537757049436,145,256
60,0.09,9,5.554262512664599,0.8704033588475424,0.0712641277822672,0.01903651016044297,1.0,7643,0.877604322505913,139,249
61,0.09,9,5.554266234394434,0.8704033588475424,0.08771758012969344,0.016521475486646776,1.0,7741,0.8713291871790521,134,244
62,0.09,9,5.559508988306343,0.8704033588475424,0.07443047705172223,0.019572855871559467,1.0,7880,0.8725375587075023,140,248
63,0.09,9,5.654776212145119,0.8708732832180824,0.17206007042797006,0.02002410136706659,1.0,8023,0.8777643742501777,140,245
64,0.09,9,5.655365308128459,0.8711139325476669,0.13972224282780277,0.017862822060024482,1.0,8114,0.8790218880097638,130,234
65,0.09,9,5.655435035146676,0.8711139325476669,0.07941313885570767,0.014400787220064153,1.0,8255,0.8791189155038595,136,246
66,0.09,9,5.655435035146676,0.8711139325476669,0.0777524735119608,0.021297471060768108,1.0,8370,0.8770611092303453,141,260
67,0.09,9,5.655435035146676,0.8711139325476669,0.08844176620845184,0.01990759307168782,1.0,8500,0.877112475450666,137,263
68,0.09,9,5.655517310996036,0.8711139325476669,0.0903301465536619,0.01881748947703763,1.0,8588,0.8749811658456467,137,261
69,0.09,9,5.662852890447899,0.8711139325476669,0.06053134954810069,0.011575137562218072,1.0,8686,0.874713708660808,139,261
70,0.09,9,5.662852890447899,0.8711139325476669,0.05142354172940733,0.010856528214622529,1.0,8817,0.8752801121266053,142,268
71,0.09,9,5.663297198840372,0.8711139325476669,0.09933025270996709,0.018018037514859392,1.0,8960,0.8793612425503018,151,261
72,0.09,9,5.663297198840372,0.8711139325476669,0.084239403956954,0.014173651563430012,1.0,9057,0.8755832058378422,154,264
73,0.09,9,5.679345757283352,0.8711139325476669,0.08168616837640985,0.007383417296912372,1.0,9149,0.8756853815636866,147,252
74,0.09,9,5.710040568191893,0.8711564266012446,0.09434607460031363,0.015726805565781543,1.0,9274,0.8769291284278783,150,252
75,0.09,9,5.710259234648149,0.8711564266012446,0.060451032679785244,0.010437807354656523,1.0,9334,0.8757534989364967,156,258
76,0.09,9,5.710259234648149,0.8711564266012446,0.06730224305228427,0.01612097094139011,1.0,9435,0.8771229746261003,151,246
77,0.09,9,5.710259234648149,0.8711564266012446,0.04621051168923662,0.011583617319037197,1.0,9578,0.8775831128320358,151,250
78,0.09,9,5.7102656574508375,0.8711564266012446,0.08494490489175088,0.01817015208532169,1.0,9633,0.8774816325452794,140,241
79,0.09,9,5.712846372133752,0.8711564266012446,0.07358527136367865,0.014781109476541559,1.0,9729,0.8799704432017393,141,238
80,0.09,9,5.712914252013406,0.8711564266012446,0.03880106086746482,0.007324088591891978,1.0,9790,0.8793026246543177,141,237
81,0.09,9,5.712914252013406,0.8711564266012446,0.07682065795761928,0.017453629078957967,1.0,9897,0.8779083888424041,134,233
82,0.09,9,5.71038231820156,0.8689875197258742,0.10584390757721318,0.010821284921525856,1.0,9994,0.87725387160119,132,241
