generation,coverage,archive_size,max_objective,mean_objective,decode_success_rate,total_evaluations,int_div,scaffold_count,n_unique
22,0.06,6,0.9307594957338857,0.8294136085299101,1.0,3635,0.8984895030905581,6,6
23,0.06,6,0.9307594957338857,0.8294136085299101,1.0,3778,0.8984895030905581,6,6
24,0.06,6,0.9307594957338857,0.8294136085299101,1.0,3925,0.8984895030905581,6,6
25,0.07,7,0.9307594957338857,0.777248577582114,1.0,4066,0.9082269768620238,7,7
26,0.07,7,0.9307594957338857,0.7870830641444361,1.0,4199,0.9117664075123029,7,7
27,0.08,8,0.9307594957338857,0.7178525299639021,1.0,4336,0.9086974370191963,8,8
28,0.08,8,0.9307594957338857,0.7350830646148124,1.0,4475,0.9155986093420813,8,8
29,0.08,8,0.9307594957338857,0.7846010707282687,1.0,4603,0.912019484917707,8,8
30,0.08,8,0.9307594957338857,0.7868909218420853,1.0,4728,0.9185334526529729,8,8
31,0.08,8,0.9307594957338857,0.837698020502808,1.0,4855,0.9126892054069523,8,8
32,0.08,8,0.9307594957338857,0.837698020502808,1.0,4980,0.9126892054069523,8,8
33,0.08,8,0.9307594957338857,0.8414448849287841,1.0,5100,0.9163999401474632,8,8
34,0.08,8,0.9307594957338857,0.8414448849287841,1.0,5224,0.9163999401474632,8,8
35,0.08,8,0.9307594957338857,0.8414448849287841,1.0,5353,0.9163999401474632,8,8
36,0.08,8,0.9307594957338857,0.8414448849287841,1.0,5481,0.9163999401474632,8,8
37,0.08,8,0.9307594957338857,0.8414448849287841,1.0,5608,0.9163999401474632,8,8
38,0.08,8,0.9307594957338857,0.8414448849287841,1.0,5733,0.9163999401474632,8,8
39,0.08,8,0.9307594957338857,0.8414448849287841,1.0,5869,0.9163999401474632,8,8
40,0.08,8,0.9307594957338857,0.8414448849287841,1.0,6004,0.9163999401474632,8,8
41,0.08,8,0.9307594957338857,0.8414448849287841,1.0,6147,0.9163999401474632,8,8
42,0.08,8,0.9307594957338857,0.8421842407810695,1.0,6276,0.9130455223937745,8,8
43,0.08,8,0.9307594957338857,0.8421842407810695,1.0,6414,0.9130455223937745,8,8
44,0.08,8,0.9307594957338857,0.8441086329690096,1.0,6543,0.9066646453206771,8,8
45,0.08,8,0.9307594957338857,0.8441086329690096,1.0,6686,0.9066646453206771,8,8
46,0.08,8,0.9307594957338857,0.8441086329690096,1.0,6828,0.9066646453206771,8,8
47,0.08,8,0.9307594957338857,0.850279435721485,1.0,6972,0.9058711107251819,8,8
48,0.08,8,0.9307594957338857,0.850279435721485,1.0,7114,0.9058711107251819,8,8
49,0.08,8,0.9307594957338857,0.850279435721485,1.0,7255,0.9058711107251819,8,8
50,0.08,8,0.9307594957338857,0.850279435721485,1.0,7397,0.9058711107251819,8,8
51,0.08,8,0.9307594957338857,0.8567099979350511,1.0,7538,0.9038562118162373,8,8
52,0.08,8,0.9307594957338857,0.8567099979350511,1.0,7684,0.9038562118162373,8,8
53,0.08,8,0.9337654803388943,0.8641540845693388,1.0,7825,0.8914373420102782,8,8
54,0.09,9,0.9337654803388943,0.7899084659033465,1.0,7939,0.9089627097144243,9,9
55,0.09,9,0.9337654803388943,0.7901621555076069,1.0,8067,0.9007775161785541,9,9
56,0.09,9,0.9337654803388943,0.7901621555076069,1.0,8189,0.9007775161785541,9,9
57,0.09,9,0.9337654803388943,0.7949386188406955,1.0,8320,0.8796592205104188,9,9
58,0.09,9,0.9337654803388943,0.7952592934912354,1.0,8454,0.8809054429677693,9,9
59,0.09,9,0.9337654803388943,0.7952592934912354,1.0,8594,0.8809054429677693,9,9
60,0.09,9,0.9337654803388943,0.7977913639366708,1.0,8728,0.8832961360358194,9,9
61,0.09,9,0.9337654803388943,0.8057430816151236,1.0,8859,0.8934184348999626,9,9
62,0.09,9,0.9337654803388943,0.8130013674417923,1.0,8993,0.8963980858446706,9,9
63,0.09,9,0.9337654803388943,0.8219018259588489,1.0,9129,0.9165988282688282,9,9
64,0.09,9,0.9337654803388943,0.8219018259588489,1.0,9259,0.9165988282688282,9,9
65,0.09,9,0.9337654803388943,0.8219018259588489,1.0,9390,0.9165988282688282,9,9
66,0.09,9,0.9337654803388943,0.8239210221087436,1.0,9513,0.9166394927489259,9,9
67,0.09,9,0.9337654803388943,0.8259812997334838,1.0,9642,0.9183052281477363,9,9
68,0.09,9,0.9337654803388943,0.8259812997334838,1.0,9771,0.9183052281477363,9,9
69,0.09,9,0.9337654803388943,0.8289291185902569,1.0,9897,0.9214437679462234,9,9
